function, code1, hexcode1, code2, hexcode2
"FUNCTION RED","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,48,23,23,23,23,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,467 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01d3",,

"FUNCTION YELLOW","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"MENU HOME","sendir,1:1,1,40000,1,1,96,23,23,23,47,23,23,23,23,23,23,23,23,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,47,23,23,23,23,23,23,23,47,23,47,23,47,538 ","0000 0067 0000 0015 0060 0017 0017 0017 002F 0017 0017 0017 0017 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 021A",,

"MENU MAIN","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,23,23,48,23,23,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"MENU OPTIONS","sendir,1:1,1,40000,1,1,94,24,47,24,47,24,47,24,47,24,47,24,47,24,24,24,24,24,47,24,24,24,47,24,47,24,24,24,47,24,24,24,24,24,24,24,47,24,47,24,47,434 ","0000 0067 0000 0015 005E 0018 002F 0018 002F 0018 002F 0018 002F 0018 002F 0018 002F 0018 0018 0018 0018 0018 002F 0018 0018 0018 002F 0018 002F 0018 0018 0018 002F 0018 0018 0018 0018 0018 0018 0018 002F 0018 002F 0018 002F 01B2",,

